uid,id,rarity,time,banner,type,manual
1733281800001210222,20007,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210322,20020,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210422,20015,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210522,20014,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001210622,20004,3,2024-12-04T03:07:26.000Z,2051,11,false
1733281800001234522,1201,4,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001234622,20017,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001234722,20008,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001234822,20011,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001234922,20004,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001235022,20010,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001235122,20010,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001235222,20012,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001235322,20020,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001235422,20005,3,2024-12-04T03:07:34.000Z,2051,11,false
1733281800001288022,21020,4,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288122,20013,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288222,20018,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288322,20008,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288422,20003,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288522,20000,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288622,20020,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288722,1008,4,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288822,20016,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001288922,20004,3,2024-12-04T03:07:51.000Z,2051,11,false
1733281800001310122,20014,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310222,20016,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310322,1008,4,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310422,20003,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310522,20016,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310622,20012,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310722,20016,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310822,20019,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001310922,20010,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001311022,20006,3,2024-12-04T03:07:58.000Z,2051,11,false
1733281800001321922,20008,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322022,20018,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322122,21007,4,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322222,20019,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322322,20017,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322422,20002,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322522,20007,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322622,1008,4,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322722,20019,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001322822,20008,3,2024-12-04T03:08:04.000Z,2051,11,false
1733281800001349422,20010,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001349522,20003,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001349622,20012,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001349722,20015,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001349822,20002,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001349922,20010,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001350022,1201,4,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001350122,20019,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001350222,20013,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001350322,20007,3,2024-12-04T03:08:10.000Z,2051,11,false
1733281800001366722,20018,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001366822,20004,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001366922,20019,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367022,20010,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367122,20019,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367222,21017,4,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367322,20015,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367422,20009,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367522,20001,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001367622,20016,3,2024-12-04T03:08:16.000Z,2051,11,false
1733281800001389522,20014,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001389622,20010,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001389722,20003,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001389822,20004,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001389922,20018,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001390022,1201,4,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001390122,20012,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001390222,1211,5,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001390322,20007,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001390422,20014,3,2024-12-04T03:08:22.000Z,2051,11,false
1733281800001594822,20004,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001594922,20016,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595022,20005,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595122,20000,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595222,20005,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595322,1008,4,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595422,20017,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595522,20014,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595622,20014,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001595722,20004,3,2024-12-04T03:09:38.000Z,2051,11,false
1733281800001611822,20013,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001611922,20015,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612022,20012,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612122,20003,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612222,1201,4,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612322,20002,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612422,20014,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612522,20002,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612622,20007,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001612722,20004,3,2024-12-04T03:09:44.000Z,2051,11,false
1733281800001623722,20013,3,2024-12-04T03:09:50.000Z,2051,11,false
